"location_id","location_name","parent_id","level","authority","facility_level","medical_bureaus","operational_status","ownership","private_facilities","public_facilities","reporting_status","path_to_top_parent","region_name","district_name","DLG_name","subcounty_name","latitude","longitude","geom_enhanced","facility_level_2","facility_type"
"pWrHCTnuvFm","Kyakuterekera Health Centre III","TebO8zDIwsX",6,"UCBHCA","HC III",NA,"Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,yx0ieyZNF0l,Lnewt3iIJaK,RmrgbH8x4qy,TebO8zDIwsX,pWrHCTnuvFm","Bunyoro","Kakumiro District","Kakumiro DLG","Mwitanzige Subcounty",1.061756,31.356018,NA,"clinic","private"
"pX3MU1qFGrp","Consult Clinic and Laboratory Services","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,pX3MU1qFGrp","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.376484,32.600036,NA,"clinic","private"
"pXRws5D6wrR","Community Clinic","LllQ7wFfkGG",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,SUvODYOcaVf,szlrGpmFlu9,AaEdnyGpKsv,LllQ7wFfkGG,pXRws5D6wrR","Acholi","Gulu City","Gulu City Council","Laroo Pece Division",2.770935,32.298653,NA,"clinic","private"
"pXcZqab74kh","Marie Stopes Uganda Arua Health Centre II","on8r7eHNeVQ",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,BD3XaQ7cQAp,iQTVPmAJPkr,DUu6g6xpn1e,on8r7eHNeVQ,pXcZqab74kh","West Nile","Arua City","Arua City Council","Arua Central Division",3.024273,30.909576,NA,"clinic","private"
"pZKFbHb71KY","Grace Medical Clinic (Mbuya II)","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,pZKFbHb71KY","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.3476095,32.5824972,1,"clinic","private"
"pZMFQOtKC2I","Mutungo Nursing Home","gTr4gM81jn5",6,"Private Authority","HC III",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,Dl9WvtvDs5V,lzWuB6bCQeV,aA4KihJedni,gTr4gM81jn5,pZMFQOtKC2I","North Buganda","Mubende District","Mubende DLG","Kasambya Town Council",0.377382,31.223928,NA,"clinic","private"
"pZfcpL5txuc","YAWE Health Centre II","ELU3iXYKacy",6,"Private Authority","HC II",NA,"Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,JZhJ50nOirX,R1x33oSVR1M,GkXV0VV1UZH,ELU3iXYKacy,pZfcpL5txuc","Tooro","Fort Portal City","Fort Portal City Council","Fort Portal Central Division",0.6578949,30.2551462,1,"clinic","private"
"pZhYWxNWH94","Orwamuge Health Centre III","uXQo8tEvcwq",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,jdlbNUwJiKX,NREoMszwQZW,FAd9Fdilu8E,uXQo8tEvcwq,pZhYWxNWH94","Karamoja","Abim District","Abim DLG","Orwamuge Town Council",2.535943,33.621682,NA,"clinic","gov_HC"
"pZpspK6t5p9","Bank of Uganda Clinic","zNdkt1W9dcu",6,"BOU","HC II",NA,"Functional","GOV",NA,"BOU","Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,zNdkt1W9dcu,pZpspK6t5p9","Kampala","Kampala District","Kampala City Council","Central Division",0.318145,32.573182,NA,"clinic","gov_HC"
"pa2KemeFZTD","Kyehoro Health Centre III","UbxVhXZ5cxg",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,yx0ieyZNF0l,L5WBetpBpY3,Yi3GBtrlRfw,UbxVhXZ5cxg,pa2KemeFZTD","Bunyoro","Kikuube District","Kikuube DLG","Kabwoya Subcounty",1.506093,30.939478,NA,"clinic","gov_HC"
"paN9PlHkDPN","Kalangala Prisons Health Centre II","vswvzxAfCHh",6,"UPS","HC II",NA,"Functional","GOV",NA,"UPS","Reporting","akV6429SUqu,IEU0FjDAhBP,JrHILmtK0OU,hkw7cymppi6,vswvzxAfCHh,paN9PlHkDPN","South Buganda","Kalangala District","Kalangala DLG","Kalangala Town Council",-0.3208374,32.2937428,1,"clinic","gov_HC"
"paNfnARuPo1","God's Will Medical Clinic","zNdkt1W9dcu",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,zNdkt1W9dcu,paNfnARuPo1","Kampala","Kampala District","Kampala City Council","Central Division",0.345385,32.588098,NA,"clinic","private"
"pamX5YjbbG2","Maiha Prisons Health Centre II","SV1Bw284a44",6,"UPS","HC II",NA,"Functional","GOV",NA,"UPS","Reporting","akV6429SUqu,yx0ieyZNF0l,xr8EMirOASp,w5WItSAsgK0,SV1Bw284a44,pamX5YjbbG2","Bunyoro","Masindi District","Masindi DLG","Bwijanga Subcounty",1.510459,31.6054893,1,"clinic","gov_HC"
"pbZv6K3N34G","Real Medical Centre","FbuhMjEaMXt",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,FbuhMjEaMXt,pbZv6K3N34G","Kampala","Kampala District","Kampala City Council","Makindye Division",0.3155925,32.6362878,1,"clinic","private"
"pc0gGnSgjAf","Rop Kwoo Drugshop","hZA6Q0HfT0V",6,"Private Authority","Drug Shop",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,vFANCvLWoVs,hZA6Q0HfT0V,pc0gGnSgjAf","Lango","Oyam District","Oyam DLG","Oyam Town Council",2.3848102,32.5259596,1,"drugshop","drugshop"
